section,exercise_number,exercise_text,a,b,c,d,e,f,graphic,answer,solution
"Admitere FA iulie 2002","2002.A.11.","Unitatea de măsură pentru presiune, în SI, este: ( 4 pct.)\\","$\mathrm{Pa}$","$N \cdot m$","$\mathrm{N} / \mathrm{m}$","$\mathrm{atm}$","$\mathrm{torr}$","$\mathrm{at}$","N/A","a","Răspuns corect a.\\"
"Admitere FA iulie 2002","2002.A.12.","Un consumator constă din 20 rezistori cu rezistența $R_{1}=40 \Omega$ fiecare şi 100 rezistori cu $R_{2}=200 \Omega$ fiecare. Rezistorii fiind legați toți în paralel, consumatorul are rezistență electrică totală: ( 4 pct.)\\","$500 \Omega$","$4 \Omega$","$0,5 \Omega$","$1 \Omega$","$240 \Omega$","$3 \Omega$","N/A","d","La legarea în paralel a rezistoarelor, $\frac{1}{R_{ech}}=\frac{n_{1}}{R_{1}}+\frac{n_{2}}{R_{2}}=1$, de unde $R_{\text {ech}}=1 \Omega$. Răspuns corect d.\\"
"Admitere FA iulie 2002","2002.A.13.","Unitatea de măsură pentru capacitatea calorică, în SI, este: (4 pct.)\\","$\mathrm{J} / \mathrm{K}^{2}$","$\mathrm{J}^{2} / \mathrm{K}$","$\mathrm{J} \cdot \mathrm{K}$","$\mathrm{J}$","$\mathrm{J} / \mathrm{kg}$","$\mathrm{J} / \mathrm{K}$","N/A","f","Răspuns corect f.\\"
"Admitere FA iulie 2002","2002.A.14.","Un corp are energia cinetică $E_{c}=20 \mathrm{~J}$. Lucrul mecanic efectuat asupra corpului pentru a-i tripla impulsul, este: ( $\mathbf{4}$ pct.)\\","$60 \mathrm{~J}$","$180 \mathrm{~J}$","$40 \mathrm{~J}$","$2,5 \mathrm{~J}$","$160 \mathrm{~J}$","$160 \mathrm{~W}$","N/A","e","Conform teoremei de variație a energiei cinetice:\\ $L=\Delta E_{c}=\frac{\left(3 p_{1}\right)^{2}}{2} \mathrm{~m}-\frac{p_{1}^{2}}{2} \mathrm{~m}=8 E_{c 1}=160 \mathrm{~J}$, unde am utilizat pentru energia cinetică relația $E_{c}=\frac{1}{2} m v^{2}=\frac{m^{2} v^{2}}{2} \mathrm{~m}=\frac{p^{2}}{2} \mathrm{~m}$. Răspuns corect e.\\"
"Admitere FA iulie 2002","2002.A.15.","Ecuația $V T^{n}=$ const. descrie un proces termodinamic izobar, dacă: (4 pct.)\\","$n=-1$","$n=\frac{\gamma-1}{\gamma}$","$n=\gamma-1$","$n=1$","$n=\gamma$","$n=0$","N/A","a","Transformare izobară se poate scrie sub forma $V T^{-1}=$ const., de unde $n=-1$. Răspuns corect a.\\"
"Admitere FA iulie 2002","2002.A.16.","Un corp legat de un resort cu constanta elastică de $0,8 \pi^{2} \mathrm{~N} / \mathrm{m}$, oscilând cu perioada de $1 \mathrm{~s}$, are masa: (4 pct.)\\","$0,2 \mathrm{~t}$","$1 \mathrm{~g}$","$5 \mathrm{~kg}$","$0,2 \mathrm{~kg}$","$0,15 \mathrm{~kg}$","$1 \mathrm{~kg}$","N/A","d","Din expresia perioadei oscilatorului, $T=2 \pi \sqrt{\frac{m}{k}}$, rezultă masa acestuia:\\ $m=\frac{k T^{2}}{4 \pi^{2}}=0,2 \mathrm{~kg}$. Răspuns corect d.\\"
"Admitere FA iulie 2002","2002.A.17.","Un corp este lansat în sus pe un plan înclinat cu unghiul $\alpha$, pe care se mişcă cu frecare (coeficientul de frecare fiind $\mu$). După oprire, corpul nu va porni înapoi spre baza planului dacă este satisfăcută condiția: (4 pct.)\\","$\mu \geq \sin \alpha$","$\mu \geq \operatorname{tg}^{2} \alpha$","$\mu \geq \frac{1-\sin \alpha}{\cos \alpha}$","$\mu \geq \sin ^{2} \alpha$","$\mu \geq \operatorname{tg} \alpha$","$\mu \geq 0,3$","N/A","e","Din condiția ca $G_{\tan} \leq F_{frec}$ rezultă $\mu \geq \operatorname{tg} \alpha$. Răspuns corect e.\\"
"Admitere FA iulie 2002","2002.A.18.","Unitatea de măsură pentru inductanță, în SI, este: (4 pct.)\\","$\mathrm{C} / \mathrm{m}$","$\mathrm{J}$","$\mathrm{H} / \mathrm{m}$","$\mathrm{H}$","$\mathrm{W}$","$\mathrm{H} \cdot \mathrm{m}$","N/A","d","Răspuns corect d.\\"
"Admitere FA iulie 2003","2003.A.1.","Pe un plan orizontal un corp de masă $m_{1}$ ciocneşte elastic un corp de masă $m_{2}$ aflat în repaus. În urma ciocnirii, cele două corpuri se deplasează cu aceeaşi viteză, în sensuri opuse. Raportul $\frac{m_{2}}{m_{1}}$ este: ( 8 pct.)\\","$3$","$4$","$\frac{1}{3}$","$2$","$7$","$1$","N/A","a","Legile de conservare ale impulsului și energiei cinetice în ciocnirea elastică din enunț se scriu:\\ $m_{1} v+0=-m_{1} v_{1}+m_{2} v_{1}$ şi $\frac{1}{2} m_{1} v^{2}+0=\frac{1}{2} m_{1} v_{1}^{2}+\frac{1}{2} m_{2} v_{1}^{2}$, relații care se mai pot scrie sub forma:\\ $m_{1}\left(v+v_{1}\right)=m_{2} v_{1}$ şi $m_{1}\left(v^{2}-v_{1}^{2}\right)=m_{2} v_{1}^{2}$.\\ După împărțirea ultimelor relații, membru cu membru, obținem că $v=2 v_{1}$. Înlocuind acest rezultat în legea conservării impulsului rezultă raportul $\frac{m_{2}}{m_{1}}=3$. Răspuns corect a.\\"
"Admitere FA iulie 2003","2003.A.2.","Randamentul unei maşini termice, funcționând după un ciclu Carnot cu gaz ideal este $\eta=64 \%$. Raportul (subunitar) al vitezelor termice ale moleculelor de gaz corespunzătoare temperaturilor extreme ale ciclului este: (8 pct.)\\","$0,8$","$0,89$","$0,64$","$0,6$","$0,4$","$0,5$","N/A","d","Din expresia randamentului ciclului Carnot, $\eta=1-\frac{T_{2}}{T_{1}}$ şi expresiile vitezelor termice, $v_{T_{1}}=\sqrt{\frac{3 R T_{1}}{\mu}}$ şi respectiv $v_{T_{2}}=\sqrt{\frac{3 R T_{2}}{\mu}}$, rezultă raportul:\\ $\frac{v_{T_{2}}}{v_{T_{1}}}=\sqrt{\frac{T_{2}}{T_{1}}}=\sqrt{1-\eta}=0,6$. Răspuns corect d.\\"
"Admitere FA iulie 2003","2003.A.3.","Două baterii A şi B cu t. e. m. $E_{A}=6 \mathrm{~V}$ şi $E_{B}=3 \mathrm{~V}$, având rezistențele interne $r_{A}=1 \Omega$, respectiv $r_{B}=2 \Omega$ sunt legate în serie la bornele unui rezistor de rezistență $R$. Pentru ce valoare a rezistenței $R$, tensiunea la bornele bateriei B va fi nulă? (8 pct.)\\","$6 \Omega$","$2 \mathrm{k} \Omega$","$3 \Omega$","$1,5 \Omega$","$2 \Omega$","$3 \mathrm{k} \Omega$","N/A","c","Conform teoremei a doua a lui Kirchhoff, intensitatea curentului prin circuit este egală cu $I=\frac{E_{A}+E_{B}}{r_{A}+r_{B}+R}$, iar din condiția ca tensiunea la bornele bateriei B să fie nulă, adică $U_{B}=E_{B}-I r_{B}=\frac{E_{A}\left(r_{A}+R\right)-E_{B} r_{B}}{r_{A}+r_{B}+R}=0$, rezultă:\\ $R=\frac{E_{A} r_{B}-E_{B} r_{A}}{E_{B}}=3 \Omega$. Răspuns corect c.\\"
"Admitere FA iulie 2003","2003.A.4.","Densitatea unui gaz ideal aflat la temperatura $\mathrm{T}_{1}=300 \mathrm{~K}$ este $\rho_{1}=1 \mathrm{~kg} / \mathrm{m}^{3}$. Care va fi densitatea gazului la temperatura $\mathrm{T}_{2}=400 \mathrm{~K}$, presiunea rămânând constantă? ( 6 pct.)\\","$1,75 \mathrm{~kg} / \mathrm{m}^{3}$","$0,65 \mathrm{~kg} / \mathrm{m}^{3}$","$0,75 \mathrm{~kg} / \mathrm{m}^{3}$","$0,5 \mathrm{~kg} / \mathrm{m}^{3}$","$1,75 \mathrm{~kg} / \mathrm{m}^{3}$","$0,86 \mathrm{~g} / \mathrm{cm}^{3}$","N/A","c","Densitatea gazului ideal la temperatura $T_{1}$ este $\rho_{1}=\frac{p \mu}{R T_{1}}$, iar la temperatura $T_{2}$ este $\rho_{2}=\frac{p \mu}{R T_{2}}$, astfel că $\rho_{2}=0,75 \mathrm{~kg} / \mathrm{m}^{3}$. Răspuns corect c.\\"
"Admitere FA iulie 2003","2003.A.5.","Sub acțiunea unei forțe $\mathrm{F}=25 \mathrm{~N}$, un resort elastic se comprimă cu $\mathrm{x}=4 \mathrm{~cm}$. Ce energie potențială dobândeşte resortul în urma acestei comprimări? ( 6 pct.)\\","$0,5 \mathrm{~J}$","$8 \mathrm{~N} \cdot \mathrm{~m}$","$5 \mathrm{~J}$","$12,5 \mathrm{~J}$","$1 \mathrm{~J}$","$7,4 \mathrm{~N}$","N/A","a","Cu ajutorul expresiei forței elastice, $F=-k x$, putem scrie expresia energiei potențiale, $E_{p}=\frac{1}{2} k x^{2}=\frac{1}{2}|F| x=0,5 \mathrm{~J}$. Răspuns corect a.\\"
"Admitere FA iulie 2003","2003.A.6.","O baterie cu t. e. m. $E=24 \mathrm{~V}$ are curentul de scurtcircuit $I_{s}=60 \mathrm{~A}$. Ce rezistență are un consumator care conectat la această baterie face ca tensiunea la borne să fie $\mathrm{U}=22 \mathrm{~V}$ ? ( 6 pct.)\\","$4,2 \Omega$","$4,4 \Omega$","$8,8 \Omega$","$2,2 \Omega$","$6,5 \Omega$","$3,4 \Omega$","N/A","b","Din expresia intensității curentului de scurtcircuit, $I_{sc}=\frac{E}{r}$, de unde $r=\frac{E}{I_{sc}}$ şi din expresia tensiunii la bornele circuitului, $U=E-I r=\frac{E R}{R+r}$, rezulră $R=\frac{U E}{(E-U) I_{sc}}=4,4 \Omega$. Răspuns corect b.\\"
"Admitere FA iulie 2003","2003.A.7.","Doi moli de gaz cântăresc $64 \mathrm{~g}$. Masa molară a gazului este: ( 4 pct.)\\","$128 \frac{\mathrm{kg}}{\mathrm{kmol}}$","$54 \frac{\mathrm{kg}}{\mathrm{kmol}}$","$12 \frac{\mathrm{g}}{\mathrm{mol}}$","$3,2 \frac{\mathrm{kg}}{\mathrm{kmol}}$","$32 \frac{\mathrm{kg}}{\mathrm{kmol}}$","$38 \frac{\mathrm{kg}}{\mathrm{kmol}}$","N/A","e","Masa molară a gazului este $\mu=\frac{m}{\nu}=32 \cdot 10^{-3} \mathrm{~kg} / \mathrm{mol}$. Răspuns corect e.\\"
"Admitere FA iulie 2003","2003.A.8.","Într-o mişcare uniform încetinită, viteza unui mobil la un anumit moment este de $40 \mathrm{~m} / \mathrm{s}$. Dacă după $8 \mathrm{~s}$ mobilul se opreşte, accelerația de frânare are mărimea: ( 4 pct.)\\","$3,2 \mathrm{~m} / \mathrm{s}^{2}$","$6 \mathrm{~m} / \mathrm{s}^{2}$","$4,8 \mathrm{~m} / \mathrm{s}^{2}$","$0,2 \mathrm{~m} / \mathrm{s}^{2}$","$3 \mathrm{~m} / \mathrm{s}^{2}$","$5 \mathrm{~m} / \mathrm{s}^{2}$","N/A","f","Din ecuația vitezei, $v=v_{0}-a t=0$, rezultă accelerația $a=\frac{v_{0}}{t}=5 \mathrm{~m} / \mathrm{s}^{2}$. Răspuns corect f.\\"
"Admitere FA iulie 2003","2003.A.9.","Inducţia magnetică pe axul unei bobine foarte lungi, parcursă de curent continuu este: ( 4 pct.)\\","$\frac{\mathrm{NI}}{\mu \mathrm{l}}$","$\frac{\mu \mathrm{NI}}{2 \mathrm{R}}$","$\frac{\mu \mathrm{I}}{\mathrm{Nl}}$","$\frac{\mu \mathrm{I}}{2 \mathrm{R}}$","$\frac{\mu \mathrm{NI}}{1}$","$\frac{\mathrm{N}^{2} \mathrm{I}}{\mu \mathrm{l}}$","N/A","e","Răspuns corect e.\\"
"Admitere FA iulie 2003","2003.A.10.","Două bile $A$ şi $B$ de mase $m_{A}=100 \mathrm{~g}$ şi $m_{B}=200 \mathrm{~g}$ se ciocnesc plastic. În urma ciocnirii bilele se opresc. Dacă bila $A$ avea viteza $v_{A}=5 \mathrm{~m} / \mathrm{s}$, bila $B$ avea viteza: ( 4 pct.)\\","$4,5 \mathrm{~m} / \mathrm{s}$","$7,5 \mathrm{~m} / \mathrm{s}$","$2,5 \mathrm{~m} / \mathrm{s}$","$10 \mathrm{~m} / \mathrm{s}$","$10,5 \mathrm{~m} / \mathrm{s}$","$8 \mathrm{~m} / \mathrm{s}$","N/A","c","Din legea de conservare a impulsului în ciocnirea plastică $m_{A} v_{A}-m_{B} v_{B}=0$, rezultă viteza $v_{B}=\frac{m_{A} v_{A}}{m_{B}}=2,5 \mathrm{~m} / \mathrm{s}$. Răspuns corect c.\\"
"Admitere FA iulie 2003","2003.A.11.","În SI puterea se măsoară în (4 pct.)\\","$J$","$J / s^{2}$","$N$","$W$","$J \cdot s$","$N \cdot m$","N/A","d","Răspuns corect d.\\"
"Admitere FA iulie 2003","2003.A.12.","În SI constanta elastică a unui resort are ca unitate de măsură ( 4 pct.)\\","$\mathrm{J} / \mathrm{m}$","$\mathrm{N} \cdot \mathrm{m}$","$\mathrm{N} / \mathrm{m}$","$\mathrm{kg} \cdot \mathrm{m}$","$\mathrm{N} / \mathrm{m}^{2}$","$\mathrm{N} \cdot \mathrm{m}^{2}$","N/A","c","Răspuns corect c.\\"
"Admitere FA iulie 2003","2003.A.13.","Fie un circuit de curent continuu alcătuit dintr-o sursă cu t. e. m. $E=102 \mathrm{~V}$ şi un rezistor cu rezistența $\mathrm{R}=1 \mathrm{k} \Omega$. Dacă tensiunea la borne este $\mathrm{U}=100 \mathrm{~V}$, rezistența internă a sursei are valoarea: ( 4 pct.)\\","$2 \Omega$","$60 \Omega$","$10 \Omega$","$20 \Omega$","$10 \mathrm{k} \Omega$","$20 \mathrm{k} \Omega$","N/A","d","Din expresia tensiunii la bornele circuitului, $U=E-I r=\frac{E R}{R+r}$, rezultă rezistența internă a sursei $r=\frac{(E-U) R}{U}=20 \Omega$. Răspuns corect d.\\"
"Admitere FA iulie 2003","2003.A.14.","Un corp care primeşte căldura $Q=8 \mathrm{~kJ}$ îşi măreşte temperatura cu $\Delta T=40 \mathrm{~K}$. Capacitatea calorică a corpului este: (4 pct.)\\","$420 \mathrm{~J} / \mathrm{K}$","$320 \mathrm{~J} / \mathrm{K}$","$200 \mathrm{~J} / \mathrm{K}$","$3 \cdot 10^{3} \mathrm{~J} / \mathrm{K}$","$50 \mathrm{~J} / \mathrm{K}$","$80 \mathrm{~J} / \mathrm{K}$","N/A","c","Conform definiției, capacitatea calorică a corpului este $C=\frac{Q}{\Delta T}=200 \mathrm{~J} / \mathrm{K}$. Răspuns corect c.\\"
"Admitere FA iulie 2003","2003.A.15.","Expresia forței electromagnetice pentru un conductor filiform rectiliniu parcurs de curent şi aflat în câmp magnetic uniform este: (4 pct.)\\","$I \overrightarrow{1} \cdot \vec{B}$","$I(\overrightarrow{1} \times \vec{B})$","$\vec{I}(\overrightarrow{1} \times \vec{B})$","$\operatorname{IB}^{2} \overrightarrow{1}$","$I(\vec{B} \times \overrightarrow{1})$","$\mathrm{BI}^{2} 1$","N/A","b","Răspuns corect b.\\"
"Admitere FA iulie 2003","2003.A.16.","Se leagă în paralel doi rezistori având rezistențele $R_{1}=6 \mathrm{k} \Omega$ şi $R_{2}=4 \mathrm{k} \Omega$. Rezistența echivalentă este: (4 pct.)\\","$3,5 \mathrm{k} \Omega$","$24 \mathrm{k} \Omega$","$6,2 \mathrm{k} \Omega$","$10 \mathrm{k} \Omega$","$2,4 \mathrm{k} \Omega$","$48 \mathrm{k} \Omega$","N/A","e","La legarea rezistoarelor în paralel, rezistența echivalentă este egală cu:\\ $R_{\text {ech}}=\frac{R_{1} R_{2}}{R_{1}+R_{2}}=2,4 \mathrm{k} \Omega$. Răspuns corect e.\\"
"Admitere FA iulie 2003","2003.A.17.","Randamentul unei maşini termice este: (4 pct.)\\","$\frac{Q_{1}}{L}$","$\frac{L-Q_{1}}{Q_{1}}$","$\frac{Q_{2}}{Q_{1}}$","$Q_{1}-L$","$\frac{L}{Q_{1}}$","$\frac{Q_{1}-L}{L}$","N/A","e","Răspuns corect e.\\"
"Admitere FA iulie 2003","2003.A.18.","Care dintre relațiile de mai jos reprezintă ecuația transformării adiabatice a unui gaz ideal? (4 pct.)\\","$\frac{V}{T}=\text{const.}$","$p V=\text{const.}$","$\frac{p}{T}=\text{const.}$","$\frac{\mathrm{p}_{1} \mathrm{~V}_{1}}{\mathrm{~T}_{1}}=\frac{\mathrm{p}_{2} \mathrm{~V}_{2}}{\mathrm{~T}_{2}}$","$\mathrm{TV}^{\gamma-1}=\text{const.}$","$p V=\nu R T$","N/A","e","Răspuns corect e.\\"
"Admitere FA iulie 2006","2006.A.1.","Produsul dintre temperatura şi densitatea unui gaz ideal este constant în transformarea: ( 6 pct.)\\","generală","în nici un fel de transformare","izotermă","izocoră","adiabată","izobară","N/A","f","Din expresia densității gazului ideal, $\rho=\frac{m}{V}=\frac{p \mu}{R T}$, din condiția ca produsul $\rho T=\frac{p \mu}{R}=$ constant rezultă $p=$ constant, adică o transformare izobară. Răspuns corect f.\\"
"Admitere FA iulie 2006","2006.A.2.","Un conductor cu rezistenţa de $5 \Omega$ este parcurs în 50 de secunde de un număr de $2 \cdot 10^{21}$ electroni. Tensiunea electrică între capetele conductorului este: (sarcina electronului este de $1,6 \cdot 10^{-19} \mathrm{C}$) (6 pct.)\\","$18 \mathrm{~V}$","$2 \mathrm{~V}$","$32 \mathrm{~V}$","$20 \mathrm{~V}$","$40 \mathrm{~V}$","$0,2 \mathrm{~V}$","N/A","c","Intensitatea curentului electric este $I=\frac{N e}{t}=\frac{U}{R}$, de unde tensiunea electrică la capetele conductorului este egală cu $U=\frac{N e R}{t}=32 \mathrm{~V}$. Răspuns corect c.\\"
"Admitere FA iulie 2006","2006.A.3.","Un corp este ridicat vertical în sus cu ajutorul unui fir. Cu ce accelerație trebuie efectuată ridicarea, pentru ca tensiunea din fir să fie egală cu greutatea corpului? ( 6 pct.)\\","$56 \mathrm{~m} / \mathrm{s}^{2}$","$1 \mathrm{~m} / \mathrm{s}^{2}$","$10 \mathrm{~m} / \mathrm{s}^{2}$","$0 \mathrm{~m} / \mathrm{s}^{2}$","$9,8 \mathrm{~m} / \mathrm{s}^{2}$","$g$","N/A","d","La urcarea corpului cu accelerația $a$, conform condiției problemei, tensiunea din fir este egală cu $T=m(g+a)=m g$. Prin urmare, $a=0$. Răspuns corect d.\\"
